Cattle_ID,Milk_Yield_L
1,18.945731285054666
2,10.336948996902873
3,24.20433276222962
4,14.847269817583499
5,18.705022147861776
6,19.788908402838064
7,15.314999080152353
8,18.413767402693033
9,22.597239880969045
10,14.114938451956665
11,12.755402833358778
12,15.321217093429066
13,18.038038215643503
14,12.123642303195172
15,16.319398155018455
16,13.529075398148995
17,13.648429313842495
18,15.208195374985205
19,15.770734494213759
20,11.051949832158465
21,12.504672858709224
22,18.539898646173533
23,15.980818787095805
24,11.746791927820002
25,21.518613424556985
26,14.791906390578024
27,20.0018058766721
28,12.597444562223933
29,14.723098459568387
30,16.11257093192344
31,12.425712576006282
32,18.473964214916094
33,13.923930953459287
34,14.597575280962655
35,10.46065565983088
36,12.079815672489678
37,16.32600336268316
38,10.756482390596958
39,13.12075677599131
40,13.973974980040998
41,17.19553086168028
42,15.691244942830917
43,13.904686736418586
44,16.710294076276124
45,9.535285555956127
46,14.2486384675473
47,18.61434366779284
48,19.246803570506373
49,14.589689739469742
50,8.512112767633933
51,12.807920885379549
52,12.585215173971841
53,21.603488555083675
54,17.337197278430494
55,14.346199139300563
56,17.1976837745245
57,16.672405701810305
58,14.056353416615304
59,11.923618331836314
60,15.154643246073311
61,16.506193040581866
62,17.536522660914976
63,27.05728930067368
64,13.880801012990654
65,17.079414106530685
66,15.73159048857838
67,16.37955092835141
68,20.717842996840233
69,16.761401848819798
70,12.828416546562831
71,14.126652074783635
72,21.738559555025294
73,14.970527791625546
74,13.590575954632243
75,13.156468576074818
76,10.356307942089687
77,11.356938011602832
78,19.077293981203997
79,14.595438280287945
80,13.459112493103286
81,16.081364929684245
82,15.052203125112356
83,18.430931062437715
84,18.734383394737876
85,12.211587901346665
86,16.26163928575805
87,16.199457472578494
88,14.979490511026418
89,15.72339867224502
90,17.41666171222109
91,16.22644378025814
92,14.881905571975349
93,14.881143617312087
94,16.550809895755727
95,19.340886402512687
96,9.713476392843479
97,12.093439879615072
98,16.563130463757687
99,20.150627347854616
100,19.497712653184163
101,11.76758763133541
102,22.28609403127387
103,10.643878125916206
104,16.564268632932293
105,12.977865133651406
106,17.90200419450005
107,15.009069625511028
108,19.076950759450234
109,13.688700361474034
110,21.026206447167716
111,18.208400880923115
112,18.050400558627295
113,6.699407096754588
114,14.533467927457846
115,21.22936856456803
116,15.400131809153113
117,10.60548213993673
118,18.465199097804422
119,13.835262094543333
120,13.244584008060647
121,13.008831117526787
122,9.629075488458396
123,12.77219170653298
124,17.651466554093
125,16.94068764498831
126,18.100368196286876
127,19.628132601216123
128,24.040187052126036
129,12.731911833750175
130,13.465403381379364
131,12.463321882274522
132,14.040366534691335
133,17.13359790741059
134,18.16732280825431
135,14.287588297506792
136,19.755222222052396
137,14.39801078583728
138,12.09216612976932
139,15.802789691878724
140,20.432838188699844
141,16.122041471603502
142,18.848595624937172
143,12.076474679196085
144,13.884400291581652
145,11.533047093247836
146,11.2098095997781
147,19.340826343806736
148,10.417345846511544
149,12.310600255846788
150,14.788180979301845
151,18.744337616587607
152,12.596966726459721
153,16.71202998567455
154,13.094698606451825
155,18.17683280802612
156,13.785701704861484
157,12.680554185981082
158,20.16879553469037
159,12.43056379298834
160,20.141815730967853
161,19.55826832257485
162,16.780548800729854
163,15.388767464751044
164,11.286479015730341
165,16.880811052715778
166,16.837206560044923
167,18.112211969930264
168,16.864791093881593
169,20.128417267900012
170,18.830478710440705
171,16.99939289468554
172,13.526115661070211
173,11.90291875598332
174,19.286156438801953
175,9.862854912414779
176,11.756894866224599
177,16.73012813108436
178,13.193797273847773
179,13.460256360962763
180,19.003199146437932
181,19.115403292818048
182,11.295864209274331
183,11.724222250957633
184,14.83301723076184
185,19.30930206488419
186,12.91592717015244
187,12.173196522072523
188,20.357262546800918
189,20.906570395930025
190,12.008742696491101
191,12.144048951669104
192,22.32796415638079
193,11.313614352326258
194,22.05025694303299
195,13.530130111426889
196,9.041078304673409
197,19.061712493821894
198,23.284726204321466
199,23.577894171192835
200,17.53801652065375
201,11.611386578775656
202,13.237562214804791
203,20.423502344178296
204,14.08381749245252
205,14.508314518803124
206,19.03286154930826
207,22.717811085039
208,11.325013774749113
209,10.09936145724787
210,15.26173504959508
211,16.515079297934925
212,16.426852166850335
213,20.504199161904047
214,14.148665923920674
215,11.314284215138494
216,15.441097293286614
217,15.004959856026327
218,14.207318482970209
219,14.942639236694262
220,13.340312552153511
221,17.628138214663352
